"","Cohort","Block","Position","Pop","Rep","germdate","Notes","plantdate","germjul","plantjul","days2germ","plantSep","germSep","days2germ2","planted","germinated"
"1",1,1,"A_01","STDI",3,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1
"2",1,1,"A_02","STDR2",11,2020-09-23,"",2020-09-17,267,261,6,16,22,6,1,1
"3",1,1,"A_03","CAAN1",11,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"4",1,1,"A_04","CAIN4",11,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1
"5",1,1,"A_05","STIN",14,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"6",1,1,"A_06","CAIN3",11,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1
"7",1,1,"A_07","STDI",11,2020-09-20,"",2020-09-17,264,261,3,16,19,3,1,1
"8",1,1,"A_08","STIN",12,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"9",1,1,"A_09","STTO-BH",3,2020-09-20,"",2020-09-17,264,261,3,16,19,3,1,1
"10",1,1,"A_10","STDR2",9,2020-10-09,"",2020-09-17,283,261,22,16,38,22,1,1
"11",1,1,"A_11","CAAM-GB",12,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"12",1,1,"A_12","STTO-BH",11,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1
"13",1,1,"A_13","STPO1",12,2020-09-29,"",2020-09-17,273,261,12,16,28,12,1,1
"14",1,1,"A_14","STDI",4,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1
"15",1,1,"A_15","STBR3",5,2020-11-21,"",2020-09-17,326,261,65,16,81,65,1,1
"16",1,1,"A_16","CAAN2",15,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"17",1,1,"A_17","CAAN1",5,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"18",1,1,"A_18","CAAN2",12,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"19",1,1,"A_19","CACO1",1,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"20",1,1,"A_20","STDI",14,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1
"21",1,1,"B_01","STTO-BH",4,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1
"22",1,1,"B_02","STIN",6,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1
"23",1,1,"B_03","CAIN3",13,2020-10-01,"",2020-09-17,275,261,14,16,30,14,1,1
"24",1,1,"B_04","STIN",2,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1
"25",1,1,"B_05","CAAN2",13,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"26",1,1,"B_06","CAIN3",16,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1
"27",1,1,"B_07","CAIN3",5,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1
"28",1,1,"B_08","CAAM-GB",4,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"29",1,1,"B_09","STBR3",14,2020-09-24,"",2020-09-17,268,261,7,16,23,7,1,1
"30",1,1,"B_10","CAIN4",4,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"31",1,1,"B_11","CAIN3",12,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1
"32",1,1,"B_12","CAAM-GB",14,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"33",1,1,"B_13","STIN",16,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"34",1,1,"B_14","STDR2",4,2020-10-26,"",2020-09-17,300,261,39,16,55,39,1,1
"35",1,1,"B_15","CACO1",4,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1
"36",1,1,"B_16","CAIN4",13,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"37",1,1,"B_17","STDR2",2,2020-09-23,"",2020-09-17,267,261,6,16,22,6,1,1
"38",1,1,"B_18","CAAN1",15,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"39",1,1,"B_19","STBR3",2,2020-09-23,"",2020-09-17,267,261,6,16,22,6,1,1
"40",1,1,"B_20","STDI",6,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"41",1,1,"C_01","CAAM-GB",13,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"42",1,1,"C_02","CAAM-GB",1,2020-10-11,"",2020-09-17,285,261,24,16,40,24,1,1
"43",1,1,"C_03","STPO1",6,2020-09-21,"",2020-09-17,265,261,4,16,20,4,1,1
"44",1,1,"C_04","CAAM-GB",8,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"45",1,1,"C_05","STDI",7,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"46",1,1,"C_06","CAIN4",14,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1
"47",1,1,"C_07","STDR2",13,2020-10-02,"",2020-09-17,276,261,15,16,31,15,1,1
"48",1,1,"C_08","STTO-BH",14,2020-09-20,"",2020-09-17,264,261,3,16,19,3,1,1
"49",1,1,"C_09","STGL1",13,2020-09-22,"",2020-09-17,266,261,5,16,21,5,1,1
"50",1,1,"C_10","STGL1",2,2020-09-23,"",2020-09-17,267,261,6,16,22,6,1,1
"51",1,1,"C_11","blank",3,NA,"iButton in this blank ",2020-09-17,NA,261,NA,16,NA,NA,1,0
"52",1,1,"C_12","STGL1",11,2020-09-23,"",2020-09-17,267,261,6,16,22,6,1,1
"53",1,1,"C_13","CAAM-GB",3,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"54",1,1,"C_14","CAAN1",16,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"55",1,1,"C_15","CAIN4",5,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"56",1,1,"C_16","STGL1",12,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"57",1,1,"C_17","blank",2,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"58",1,1,"C_18","STPO1",8,NA,"",2020-09-17,NA,261,NA,16,NA,NA,1,0
"59",1,1,"C_19","STTO-BH",1,2020-09-20,"",2020-09-17,264,261,3,16,19,3,1,1
