Cohort,Block,count,sample,temp.diff,Pop,mean.temp
1,1,3,16,1.967120043,caan1,20.32874618
1,2,2,16,1.977034533,caan1,20.31883169
1,3,4,16,1.912750883,caan1,20.38311534
2,1,4,16,3.338103818,caan1,18.9577624
2,2,1,16,3.568246133,caan1,18.72762009
2,3,4,16,2.324021432,caan1,19.97184479
3,1,3,16,2.943067343,caan1,19.35279888
3,2,5,16,2.902269682,caan1,19.39359654
3,3,4,16,3.85636042,caan1,18.4395058
4,1,0,16,NA,caan1,NA
4,2,1,16,9.853176542,caan1,12.44268968
4,3,2,16,7.958059253,caan1,14.33780697
5,1,3,16,10.71422972,caan1,11.5816365
5,2,3,16,10.83906523,caan1,11.45680099
5,3,2,16,10.83762829,caan1,11.45823793
6,1,2,16,12.76078192,caan1,9.535084299
6,2,1,16,12.68536785,caan1,9.610498366
6,3,2,16,13.3173123,caan1,8.978553922
7,1,2,16,14.19550616,caan1,8.100360069
7,2,4,16,14.05955074,caan1,8.236315485
7,3,0,16,NA,caan1,NA
1,1,2,16,10.06574635,caan2,20.42641899
1,2,3,16,10.3142454,caan2,20.17791994
1,3,1,16,10.16341916,caan2,20.32874618
2,1,1,16,10.54162577,caan2,19.95053957
2,2,1,16,11.88743561,caan2,18.60472973
2,3,4,16,10.46725742,caan2,20.02490792
3,1,2,16,11.3158441,caan2,19.17632125
3,2,1,16,11.03737231,caan2,19.45479303
3,3,5,16,11.28373886,caan2,19.20842648
4,1,1,16,16.66548697,caan2,13.82667837
4,2,1,16,16.66548697,caan2,13.82667837
4,3,3,16,17.0013388,caan2,13.49082654
5,1,4,16,19.08095692,caan2,11.41120842
5,2,3,16,18.95620975,caan2,11.53595559
5,3,0,16,NA,caan2,NA
6,1,2,16,21.13143355,caan2,9.360731793
6,2,2,16,21.30154591,caan2,9.19061943
6,3,4,16,21.25212296,caan2,9.240042377
7,1,1,16,21.97447202,caan2,8.517693316
7,2,2,16,22.51344565,caan2,7.978719693
7,3,3,16,22.04785436,caan2,8.444310976
1,1,3,4,5.111132422,caco,20.34350019
1,2,2,4,4.606942003,caco,20.84769061
1,3,2,4,5.028213622,caco,20.42641899
2,1,2,4,5.095687656,caco,20.35894495
2,2,3,4,5.781729854,caco,19.67290276
2,3,1,4,5.095687656,caco,20.35894495
3,1,3,4,6.676697734,caco,18.77793488
3,2,2,4,6.354806978,caco,19.09982563
3,3,4,4,6.17732328,caco,19.27730933
4,1,0,4,NA,caco,NA
4,2,0,4,NA,caco,NA
4,3,0,4,NA,caco,NA
5,1,0,4,NA,caco,NA
5,2,0,4,NA,caco,NA
5,3,0,4,NA,caco,NA
6,1,3,4,15.76944368,caco,9.685188926
6,2,2,4,15.87535084,caco,9.57928177
6,3,1,4,15.80945916,caco,9.645173454
7,1,0,4,NA,caco,NA
7,2,0,4,NA,caco,NA
7,3,1,4,16.93693929,caco,8.517693316
1,1,15,16,10.19707022,cain3,20.41565245
1,2,14,16,10.24629433,cain3,20.36642834
1,3,14,16,10.22517479,cain3,20.38754788
2,1,9,16,10.76054379,cain3,19.85217888
2,2,7,16,10.10814174,cain3,20.50458093
2,3,7,16,10.31349441,cain3,20.29922827
3,1,12,16,11.48468075,cain3,19.12804192
3,2,13,16,11.47332841,cain3,19.13939426
3,3,14,16,11.7725413,cain3,18.84018137
4,1,5,16,16.31309744,cain3,14.29962523
4,2,9,16,16.41158871,cain3,14.20113396
4,3,10,16,16.37588033,cain3,14.23684235
5,1,4,16,18.92548626,cain3,11.68723641
5,2,5,16,18.97401479,cain3,11.63870788
5,3,4,16,18.94743657,cain3,11.6652861
6,1,11,16,21.64971019,cain3,8.963012478
6,2,4,16,21.46193631,cain3,9.150786356
6,3,5,16,21.50777986,cain3,9.10494281
7,1,0,16,NA,cain3,NA
7,2,1,16,22.14259343,cain3,8.470129237
7,3,1,16,21.98911043,cain3,8.623612239
1,1,11,16,16.0406778,cain4,20.42505068
1,2,8,16,16.00960548,cain4,20.456123
1,3,9,16,16.08108039,cain4,20.38464809
2,1,12,16,17.02022069,cain4,19.44550779
2,2,12,16,16.88544497,cain4,19.58028351
2,3,5,16,16.77455407,cain4,19.69117441
3,1,8,16,17.82776727,cain4,18.63796122
3,2,9,16,17.26325051,cain4,19.20247797
3,3,8,16,18.18123675,cain4,18.28449173
4,1,5,16,22.27934951,cain4,14.18637897
4,2,2,16,22.37393292,cain4,14.09179556
4,3,2,16,22.38348581,cain4,14.08224267
5,1,5,16,24.95351477,cain4,11.51221371
5,2,1,16,24.54949359,cain4,11.91623489
5,3,6,16,24.77255918,cain4,11.6931693
6,1,2,16,27.22224165,cain4,9.243486835
6,2,5,16,27.35385065,cain4,9.111877828
6,3,4,16,27.45868191,cain4,9.007046569
7,1,2,16,28.11966364,cain4,8.346064841
7,2,2,16,28.18385635,cain4,8.28187213
7,3,1,16,27.99559924,cain4,8.470129237
1,1,13,16,16.37397494,stbr3,20.11122076
1,2,11,16,16.0355988,stbr3,20.4495969
1,3,14,16,16.51408818,stbr3,19.97110752
2,1,14,16,17.53308849,stbr3,18.95210721
2,2,15,16,17.62848833,stbr3,18.85670737
2,3,12,16,17.46592427,stbr3,19.01927143
3,1,12,16,18.68423437,stbr3,17.80096133
3,2,14,16,18.70214302,stbr3,17.78305268
3,3,12,16,18.80449889,stbr3,17.68069681
4,1,10,16,22.83826014,stbr3,13.64693556
4,2,7,16,23.82259045,stbr3,12.66260525
4,3,14,16,23.26690922,stbr3,13.21828648
5,1,10,16,25.81210299,stbr3,10.67309271
5,2,11,16,25.29396211,stbr3,11.19123359
5,3,12,16,25.39814733,stbr3,11.08704837
6,1,5,16,26.90314949,stbr3,9.582046209
6,2,8,16,26.8380196,stbr3,9.647176098
6,3,7,16,26.80572327,stbr3,9.67947243
7,1,6,16,28.15977566,stbr3,8.325420034
7,2,9,16,28.01877526,stbr3,8.466420441
7,3,4,16,28.08286635,stbr3,8.402329347
1,1,12,16,8.699644363,stdi,20.41554532
1,2,8,16,8.715955271,stdi,20.39923441
1,3,6,16,8.642097997,stdi,20.47309168
2,1,13,16,8.324938168,stdi,20.79025151
2,2,12,16,8.407984059,stdi,20.70720562
2,3,9,16,8.359791223,stdi,20.75539846
3,1,13,16,9.643179181,stdi,19.4720105
3,2,10,16,9.426660899,stdi,19.68852878
3,3,13,16,9.746026161,stdi,19.36916352
4,1,3,16,15.02339412,stdi,14.09179556
4,2,8,16,14.94811559,stdi,14.16707409
4,3,6,16,14.85938651,stdi,14.25580317
5,1,4,16,17.73558319,stdi,11.3796065
5,2,3,16,17.58655181,stdi,11.52863787
5,3,8,16,17.77409314,stdi,11.34109654
6,1,3,16,19.78735586,stdi,9.327833815
6,2,6,16,20.17462595,stdi,8.940563725
6,3,6,16,20.04080923,stdi,9.074380447
