"Date.Time","Unit","temp","cohort","block","hour","minute","Date"
2020-09-17 11:56:00,"C",30.5,1,1,11,56,2020-09-17
2020-09-17 12:56:00,"C",31.5,1,1,12,56,2020-09-17
2020-09-17 13:56:00,"C",28.5,1,1,13,56,2020-09-17
2020-09-17 14:56:00,"C",28.5,1,1,14,56,2020-09-17
2020-09-17 15:56:00,"C",28.5,1,1,15,56,2020-09-17
2020-09-17 16:56:00,"C",27,1,1,16,56,2020-09-17
2020-09-17 17:56:00,"C",26.5,1,1,17,56,2020-09-17
2020-09-17 18:56:00,"C",23.5,1,1,18,56,2020-09-17
2020-09-17 19:56:00,"C",21,1,1,19,56,2020-09-17
2020-09-17 20:56:00,"C",20,1,1,20,56,2020-09-17
2020-09-17 21:56:00,"C",19,1,1,21,56,2020-09-17
2020-09-17 22:56:00,"C",18,1,1,22,56,2020-09-17
2020-09-17 23:56:00,"C",18,1,1,23,56,2020-09-17
2020-09-18 00:56:00,"C",17.5,1,1,0,56,2020-09-18
2020-09-18 01:56:00,"C",17,1,1,1,56,2020-09-18
2020-09-18 02:56:00,"C",17,1,1,2,56,2020-09-18
2020-09-18 03:56:00,"C",16.5,1,1,3,56,2020-09-18
2020-09-18 04:56:00,"C",16.5,1,1,4,56,2020-09-18
2020-09-18 05:56:00,"C",16,1,1,5,56,2020-09-18
2020-09-18 06:56:00,"C",16,1,1,6,56,2020-09-18
2020-09-18 07:56:00,"C",16,1,1,7,56,2020-09-18
2020-09-18 08:56:00,"C",17.5,1,1,8,56,2020-09-18
2020-09-18 09:56:00,"C",19,1,1,9,56,2020-09-18
2020-09-18 10:56:00,"C",20,1,1,10,56,2020-09-18
2020-09-18 11:56:00,"C",22.5,1,1,11,56,2020-09-18
2020-09-18 12:56:00,"C",23.5,1,1,12,56,2020-09-18
2020-09-18 13:56:00,"C",25,1,1,13,56,2020-09-18
2020-09-18 14:56:00,"C",25,1,1,14,56,2020-09-18
2020-09-18 15:56:00,"C",26.5,1,1,15,56,2020-09-18
2020-09-18 16:56:00,"C",25,1,1,16,56,2020-09-18
2020-09-18 17:56:00,"C",25,1,1,17,56,2020-09-18
2020-09-18 18:56:00,"C",22.5,1,1,18,56,2020-09-18
2020-09-18 19:56:00,"C",20.5,1,1,19,56,2020-09-18
2020-09-18 20:56:00,"C",19.5,1,1,20,56,2020-09-18
2020-09-18 21:56:00,"C",19,1,1,21,56,2020-09-18
2020-09-18 22:56:00,"C",18,1,1,22,56,2020-09-18
2020-09-18 23:56:00,"C",17.5,1,1,23,56,2020-09-18
2020-09-19 00:56:00,"C",17,1,1,0,56,2020-09-19
2020-09-19 01:56:00,"C",16.5,1,1,1,56,2020-09-19
2020-09-19 02:56:00,"C",16,1,1,2,56,2020-09-19
2020-09-19 03:56:00,"C",15.5,1,1,3,56,2020-09-19
2020-09-19 04:56:00,"C",15,1,1,4,56,2020-09-19
2020-09-19 05:56:00,"C",14.5,1,1,5,56,2020-09-19
2020-09-19 06:56:00,"C",14,1,1,6,56,2020-09-19
2020-09-19 07:56:00,"C",14.5,1,1,7,56,2020-09-19
2020-09-19 08:56:00,"C",15.5,1,1,8,56,2020-09-19
2020-09-19 09:56:00,"C",19,1,1,9,56,2020-09-19
2020-09-19 10:56:00,"C",22,1,1,10,56,2020-09-19
2020-09-19 11:56:00,"C",23,1,1,11,56,2020-09-19
2020-09-19 12:56:00,"C",23,1,1,12,56,2020-09-19
2020-09-19 13:56:00,"C",24.5,1,1,13,56,2020-09-19
2020-09-19 14:56:00,"C",24.5,1,1,14,56,2020-09-19
2020-09-19 15:56:00,"C",26,1,1,15,56,2020-09-19
2020-09-19 16:56:00,"C",25,1,1,16,56,2020-09-19
2020-09-19 17:56:00,"C",24.5,1,1,17,56,2020-09-19
2020-09-19 18:56:00,"C",21.5,1,1,18,56,2020-09-19
2020-09-19 19:56:00,"C",20.5,1,1,19,56,2020-09-19
2020-09-19 20:56:00,"C",19.5,1,1,20,56,2020-09-19
2020-09-19 21:56:00,"C",18.5,1,1,21,56,2020-09-19
2020-09-19 22:56:00,"C",18,1,1,22,56,2020-09-19
2020-09-19 23:56:00,"C",17.5,1,1,23,56,2020-09-19
2020-09-20 00:56:00,"C",17,1,1,0,56,2020-09-20
2020-09-20 01:56:00,"C",16.5,1,1,1,56,2020-09-20
2020-09-20 02:56:00,"C",16,1,1,2,56,2020-09-20
2020-09-20 03:56:00,"C",15.5,1,1,3,56,2020-09-20
2020-09-20 04:56:00,"C",15,1,1,4,56,2020-09-20
2020-09-20 05:56:00,"C",14.5,1,1,5,56,2020-09-20
2020-09-20 06:56:00,"C",14,1,1,6,56,2020-09-20
2020-09-20 07:56:00,"C",14,1,1,7,56,2020-09-20
2020-09-20 08:56:00,"C",15,1,1,8,56,2020-09-20
2020-09-20 09:56:00,"C",20,1,1,9,56,2020-09-20
2020-09-20 10:56:00,"C",21.5,1,1,10,56,2020-09-20
2020-09-20 11:56:00,"C",23.5,1,1,11,56,2020-09-20
2020-09-20 12:56:00,"C",24,1,1,12,56,2020-09-20
2020-09-20 13:56:00,"C",26,1,1,13,56,2020-09-20
2020-09-20 14:56:00,"C",26,1,1,14,56,2020-09-20
