"Date","cohort","max_dailytemp","min_dailytemp","mean_dailytemp"
2020-09-17,1,35,18,24.6410256410256
2020-09-18,1,26.5,15.5,19.9513888888889
2020-09-19,1,26,14,19.4930555555556
2020-09-20,1,27.5,13.5,19.8194444444444
2020-09-21,1,27,14,19.7152777777778
2020-09-22,1,28.5,15,20.4513888888889
2020-09-23,1,29,12.5,20.0763888888889
2020-09-24,1,31,14.5,21.2708333333333
2020-09-25,1,29.5,12.5,20.1875
2020-09-26,1,31,14.5,21.3333333333333
2020-09-27,1,33,18,24.375
2020-09-28,1,35,18.5,24.4305555555556
2020-09-29,1,31.5,14,21.4097222222222
2020-09-30,1,34.5,13.5,22.8611111111111
2020-10-01,1,28.5,14.5,21.6736111111111
2020-10-02,1,27.5,16,21.3333333333333
2020-10-03,1,28.5,15.5,21.4166666666667
2020-10-04,1,27.5,14,20.0555555555556
2020-10-05,1,28.5,12.5,19.4166666666667
2020-10-05,2,31.5,16.5,24.0892857142857
2020-10-06,1,27.5,12,19
2020-10-06,2,27,11,19.0416666666667
2020-10-07,1,27.5,12.5,18.4583333333333
2020-10-07,2,27,12.5,18.4791666666667
2020-10-08,1,23.5,12,16.3472222222222
2020-10-08,2,22.5,12.5,16.6145833333333
2020-10-09,1,22.5,9.5,15.6041666666667
2020-10-09,2,22.5,10,15.8645833333333
2020-10-10,1,27,12.5,18.3402777777778
2020-10-10,2,27,12.5,18.375
2020-10-11,1,26,12,17.6111111111111
2020-10-11,2,25.5,12,17.75
2020-10-12,1,29.5,10.5,18.3680555555556
2020-10-12,2,28,10.5,18.03125
2020-10-13,1,30.5,10.5,19.1180555555556
2020-10-13,2,30,11,18.9270833333333
2020-10-14,1,30.5,15.5,22.1111111111111
2020-10-14,2,29.5,15,21.3958333333333
2020-10-15,1,33,15,23.7986111111111
2020-10-15,2,32,16,23.1145833333333
2020-10-16,1,28.5,15.5,22.3333333333333
2020-10-16,2,27,17,21.9583333333333
2020-10-16,3,28,19,23.35
2020-10-17,1,28,13.5,19.6666666666667
2020-10-17,2,27,14,19.7395833333333
2020-10-17,3,28.5,14,19.9097222222222
2020-10-18,1,27.5,12,18.9236111111111
2020-10-18,2,27,12.5,19.0729166666667
2020-10-18,3,28,12.5,19.2708333333333
2020-10-19,1,26,12,18.4305555555556
2020-10-19,2,26.5,12.5,18.7604166666667
2020-10-19,3,27.5,12.5,18.8125
2020-10-20,1,26,11,17.8194444444444
2020-10-20,2,26,11.5,18.0208333333333
2020-10-20,3,27.5,11.5,18.1180555555556
2020-10-21,1,26,12.5,18.4722222222222
2020-10-21,2,26,12.5,18.625
2020-10-21,3,27,13,18.6319444444444
2020-10-22,1,22.5,13,16.5208333333333
2020-10-22,2,21,13,16.40625
2020-10-22,3,23,12.5,16.7083333333333
2020-10-23,1,24.5,9.5,16.1111111111111
2020-10-23,2,24,9.5,16.25
2020-10-23,3,24,9.5,16.2083333333333
2020-10-24,1,23,7.5,14.75
2020-10-24,2,24.5,8,15.0729166666667
2020-10-24,3,23.5,8,15.0763888888889
2020-10-25,1,17,9.5,12.4305555555556
2020-10-25,2,18,9.5,12.5625
2020-10-25,3,17.5,10,12.9027777777778
2020-10-26,1,19.5,5.5,12.6527777777778
2020-10-26,2,18.5,6.5,11.96875
2020-10-26,3,19.5,6,12.7569444444444
2020-10-27,1,22.5,7,14.0069444444444
2020-10-27,2,23,7.5,14.1770833333333
2020-10-27,3,22,8,14.1388888888889
2020-10-28,1,23,5,12.8819444444444
2020-10-28,2,24,5.5,13.2604166666667
2020-10-28,3,22,6,13.3125
2020-10-29,1,22.5,5.5,13.2708333333333
2020-10-29,2,22.5,6,13.3958333333333
2020-10-29,3,22.5,6.5,13.6388888888889
2020-10-30,1,21,7,13.5486111111111
2020-10-30,2,21.5,7.5,13.5833333333333
2020-10-30,3,21.5,8,13.9097222222222
2020-10-31,1,21,8,14.0208333333333
2020-10-31,2,22,8.5,14.2291666666667
2020-10-31,3,21,9,14.3125
2020-10-31,4,21.5,12.5,17.6527777777778
2020-11-01,1,21.5,7.5,13.8133333333333
2020-11-01,2,22,8,14.1
2020-11-01,3,21.5,8,14.08
2020-11-01,4,22,8,14.1733333333333
2020-11-02,1,23,7,14.4027777777778
2020-11-02,2,23.5,8,14.4583333333333
2020-11-02,3,23,8,14.6597222222222
2020-11-02,4,23,7.5,14.5625
2020-11-03,1,22.5,7.5,13.7847222222222
2020-11-03,2,22,8,14.0208333333333
2020-11-03,3,24,8,14.3194444444444
2020-11-03,4,22,8,14.1805555555556
2020-11-04,1,21.5,6.5,13.3472222222222
2020-11-04,2,21.5,6.5,13.2395833333333
2020-11-04,3,22,6.5,13.6041666666667
2020-11-04,4,21.5,7,13.5902777777778
2020-11-05,1,22.5,8.5,15.4861111111111
2020-11-05,2,24.5,8.5,15.5729166666667
2020-11-05,3,24.5,9,15.9236111111111
2020-11-05,4,24,9,15.8611111111111
2020-11-06,1,18,8.5,12.5555555555556
2020-11-06,2,19.5,9,12.8229166666667
2020-11-06,3,18,9,12.9652777777778
2020-11-06,4,18.5,9,13.1597222222222
2020-11-07,1,17,7,11.1319444444444
2020-11-07,2,17.5,7,11.34375
2020-11-07,3,18.5,7.5,11.4861111111111
2020-11-07,4,18.5,7.5,11.5555555555556
2020-11-08,1,14.5,4.5,8.65972222222222
2020-11-08,2,15,4.5,9.02083333333333
2020-11-08,3,16.5,4.5,9.15972222222222
2020-11-08,4,16,5,9.07638888888889
2020-11-09,1,14.5,3.5,7.63194444444444
2020-11-09,2,14,4,7.75
2020-11-09,3,15.5,4,7.92361111111111
2020-11-09,4,15,4,8.10416666666667
2020-11-10,1,16,0,8.29861111111111
2020-11-10,2,18.5,0.5,8.5
2020-11-10,3,18.5,0.5,8.59027777777778
2020-11-10,4,18,0.5,8.77083333333333
2020-11-11,1,14.5,6,9.16666666666667
2020-11-11,2,15,6,9.33333333333333
2020-11-11,3,15,6,9.57638888888889
2020-11-11,4,16,5.5,9.71527777777778
2020-11-12,1,16,2,8.93055555555556
2020-11-12,2,17.5,2,9.13541666666667
2020-11-12,3,17.5,2,9.38194444444444
2020-11-12,4,18,1.5,9.42361111111111
2020-11-13,1,12.5,8,10.25
2020-11-13,2,13,8.5,10.3229166666667
2020-11-13,3,14,8.5,10.5763888888889
2020-11-13,4,13.5,8.5,10.7638888888889
2020-11-13,5,13,9,11.4861111111111
2020-11-14,1,16.5,6.5,11.0833333333333
2020-11-14,2,17.5,7,11.40625
2020-11-14,3,18,7,11.5486111111111
2020-11-14,4,17.5,7,11.7638888888889
2020-11-14,5,17.5,6.5,11.4930555555556
2020-11-15,1,20,4.5,11.4444444444444
2020-11-15,2,21.5,4.5,11.65625
2020-11-15,3,21,5,11.7986111111111
2020-11-15,4,20.5,5,11.8680555555556
2020-11-15,5,21,4.5,11.5694444444444
2020-11-16,1,19,7,11.6666666666667
2020-11-16,2,20,7,11.9895833333333
2020-11-16,3,20.5,7.5,12.0486111111111
2020-11-16,4,20,7.5,12.2361111111111
2020-11-16,5,19.5,7,11.9027777777778
2020-11-17,1,17,7.5,12.0902777777778
2020-11-17,2,18,7.5,11.9270833333333
2020-11-17,3,18,7.5,12.3333333333333
2020-11-17,4,20,8,12.5208333333333
2020-11-17,5,17.5,7.5,12.2916666666667
2020-11-18,1,19.5,9.5,14.1597222222222
2020-11-18,2,21,10,14.4479166666667
2020-11-18,3,20.5,10,14.5208333333333
2020-11-18,4,22,10,14.9375
2020-11-18,5,19.5,9.5,14.4097222222222
2020-11-19,1,17,6.5,10.4583333333333
2020-11-19,2,18,6.5,10.8645833333333
2020-11-19,3,18,7,10.8680555555556
2020-11-19,4,17,7,11.1319444444444
2020-11-19,5,16.5,6.5,10.75
2020-11-20,1,18.5,3,9
2020-11-20,2,19.5,3.5,9.52083333333333
2020-11-20,3,18.5,3.5,9.45138888888889
2020-11-20,4,18,4,9.52777777777778
2020-11-20,5,17,3.5,8.95833333333333
2020-11-21,1,19,2.5,9.125
2020-11-21,2,20,2.5,9.59375
2020-11-21,3,19,3,9.47916666666667
2020-11-21,4,18,3,9.65277777777778
2020-11-21,5,17.5,3,9.15277777777778
2020-11-22,1,19.5,2,9.79166666666667
2020-11-22,2,20.5,2,10.1666666666667
2020-11-22,3,21,2.5,10.2083333333333
2020-11-22,4,19.5,2.5,10.3402777777778
2020-11-22,5,19,2,9.88194444444444
2020-11-23,1,20,3.5,10.2152777777778
2020-11-23,2,21.5,4,10.65625
2020-11-23,3,20,4,10.6944444444444
2020-11-23,4,19.5,4.5,10.8402777777778
2020-11-23,5,19,4,10.375
2020-11-24,1,20,4.5,10.8680555555556
2020-11-24,2,21,5,11.3020833333333
2020-11-24,3,20,5,11.2430555555556
2020-11-24,4,19.5,5.5,11.4513888888889
2020-11-24,5,19.5,5,10.9930555555556
2020-11-25,1,17,5.5,10.2847222222222
2020-11-25,2,18,5.5,10.6458333333333
2020-11-25,3,17.5,5.5,10.7152777777778
2020-11-25,4,17.5,6,10.9652777777778
2020-11-25,5,18,5.5,10.6736111111111
2020-11-26,1,16.5,5.5,9.80555555555556
2020-11-26,2,17,5.5,10.0208333333333
2020-11-26,3,16.5,6,10.2569444444444
2020-11-26,4,16,6,10.2152777777778
2020-11-26,5,15.5,6,9.90972222222222
2020-11-27,1,16.5,3.5,8.94444444444444
2020-11-27,2,18,4.5,9.47916666666667
2020-11-27,3,17,4.5,9.43055555555556
2020-11-27,4,17,4,9.65972222222222
2020-11-27,5,17,4,9.34027777777778
2020-11-27,6,17.5,4.5,11.7916666666667
2020-11-28,1,16,1,7.375
2020-11-28,2,18,1,7.80208333333333
2020-11-28,3,16.5,1.5,7.70138888888889
2020-11-28,4,17,1.5,7.90972222222222
2020-11-28,5,16.5,1,7.73611111111111
2020-11-28,6,17,1.5,7.52777777777778
2020-11-29,1,17,0.5,7.46527777777778
2020-11-29,2,18.5,0.5,7.875
2020-11-29,3,18,1,7.83333333333333
2020-11-29,4,17.5,1,8.02083333333333
2020-11-29,5,17,0.5,7.875
2020-11-29,6,17.5,1,7.61111111111111
2020-11-30,1,17.5,1,8.20833333333333
2020-11-30,2,19.5,1.5,8.66666666666667
2020-11-30,3,18,1.5,8.54166666666667
2020-11-30,4,18,1.5,8.80555555555556
2020-11-30,5,18.5,1,8.65972222222222
2020-11-30,6,18.5,1.5,8.38888888888889
2020-12-01,1,17,4,8.97222222222222
2020-12-01,2,18.5,4,9.47916666666667
2020-12-01,3,18,4.5,9.38194444444444
2020-12-01,4,17.5,4.5,9.625
2020-12-01,5,17.5,4,9.50694444444444
2020-12-01,6,17.5,4.5,9.16666666666667
2020-12-02,1,17.5,2,8.59027777777778
2020-12-02,2,19.5,2,8.88541666666667
2020-12-02,3,17.5,2.5,8.93055555555556
2020-12-02,4,18,2.5,9.11805555555556
2020-12-02,5,18,2,8.90972222222222
2020-12-02,6,18,2.5,8.70833333333333
2020-12-03,1,17,3,8.9375
2020-12-03,2,18.5,3,9.34375
2020-12-03,3,18,3.5,9.36111111111111
2020-12-03,4,18,3.5,9.52777777777778
2020-12-03,5,17,3.5,9.3125
2020-12-03,6,17.5,3.5,9.10416666666667
2020-12-04,1,20,3,9.38888888888889
2020-12-04,2,21.5,3.5,9.86458333333333
2020-12-04,3,19.5,3.5,9.71527777777778
2020-12-04,4,19,4,9.90277777777778
2020-12-04,5,18.5,3.5,9.54166666666667
2020-12-04,6,19.5,3.5,9.47222222222222
2020-12-05,1,17,1.5,8.38888888888889
2020-12-05,2,19,2,8.80208333333333
2020-12-05,3,18.5,2,8.72916666666667
2020-12-05,4,18,2,9.02083333333333
2020-12-05,5,17.5,2,8.52777777777778
2020-12-05,6,17.5,2,8.46527777777778
2020-12-06,1,18,3.5,10.0069444444444
2020-12-06,2,17.5,3.5,10.0104166666667
2020-12-06,3,17.5,4,10.2083333333333
2020-12-06,4,18,4,10.3819444444444
2020-12-06,5,16.5,4,9.88194444444444
2020-12-06,6,17,4,9.86111111111111
2020-12-07,1,21,8,13.5972222222222
2020-12-07,2,21.5,8.5,13.625
2020-12-07,3,20,8.5,14.0277777777778
2020-12-07,4,20.5,9,13.8888888888889
2020-12-07,5,19.5,8.5,13.2430555555556
2020-12-07,6,20.5,9,13.7986111111111
2020-12-08,1,20.5,5,10.8541666666667
2020-12-08,2,22,5.5,11.5833333333333
2020-12-08,3,20,5.5,11.4027777777778
2020-12-08,4,20,5.5,11.7152777777778
2020-12-08,5,20,5.5,10.9097222222222
2020-12-08,6,20,5.5,11.2569444444444
2020-12-09,1,19,2.5,9.88888888888889
2020-12-09,2,20,3,10.1354166666667
2020-12-09,3,18,3.5,10.2708333333333
2020-12-09,4,18,3,10.3194444444444
2020-12-09,5,18,3,9.83333333333333
2020-12-09,6,18.5,3,9.94444444444445
2020-12-10,1,20.5,6.5,11.4791666666667
2020-12-10,2,21.5,7,12.03125
2020-12-10,3,19,7.5,12.0277777777778
2020-12-10,4,19.5,6.5,12.1111111111111
2020-12-10,5,18.5,6.5,11.5277777777778
2020-12-10,6,19,6.5,11.7638888888889
2020-12-11,1,12,4,7.75
2020-12-11,2,13.5,4.5,7.85416666666667
2020-12-11,3,12,4.5,8.06944444444444
2020-12-11,4,14,4,8.11111111111111
2020-12-11,5,12,4,7.97916666666667
2020-12-11,6,12.5,4,7.84722222222222
2020-12-11,7,12.5,7.5,9.48717948717949
2020-12-12,2,14,7,9.3125
2020-12-12,3,13.5,7,9.38194444444444
2020-12-12,4,14,7.5,9.77777777777778
2020-12-12,5,13,7,9.52083333333333
2020-12-12,6,13.5,7,9.375
2020-12-12,7,12.5,7,9.25
2020-12-13,2,11.5,7,8.96875
2020-12-13,3,12,7,9.22222222222222
2020-12-13,4,12,7,9.40277777777778
2020-12-13,5,11.5,7,9.26388888888889
2020-12-13,6,11.5,7,9.125
2020-12-13,7,11.5,7,9.01388888888889
2020-12-14,2,15.5,3.5,8.0625
2020-12-14,3,14,4,8
2020-12-14,4,16,4,8.45138888888889
2020-12-14,5,13.5,4,8.04166666666667
2020-12-14,6,14,4,7.95833333333333
2020-12-14,7,13,4,7.6875
2020-12-15,2,14,3.5,7.71875
2020-12-15,3,14.5,3.5,7.74305555555556
2020-12-15,4,15.5,4,8.08333333333333
2020-12-15,5,14,3.5,7.65972222222222
2020-12-15,6,13.5,3.5,7.63888888888889
2020-12-15,7,13.5,3,7.40277777777778
2020-12-16,2,15,3,8.3125
2020-12-16,3,15.5,3.5,8.57638888888889
2020-12-16,4,15.5,3.5,8.80555555555556
2020-12-16,5,15.5,3.5,8.63194444444444
2020-12-16,6,15,3.5,8.30555555555556
2020-12-16,7,14.5,3,8.20833333333333
2020-12-17,2,17.5,7,10.4166666666667
2020-12-17,3,16.5,7.5,10.5
2020-12-17,4,17,7.5,10.8680555555556
2020-12-17,5,16.5,7,10.5555555555556
2020-12-17,6,16.5,7.5,10.4583333333333
2020-12-17,7,15.5,7,10.2291666666667
2020-12-18,2,17,4.5,8.75
2020-12-18,3,15,5,8.75
2020-12-18,4,15.5,5,9.18055555555556
2020-12-18,5,16,5,8.625
2020-12-18,6,16,5,8.68055555555556
2020-12-18,7,14.5,4.5,8.4375
2020-12-19,2,17,2.5,7.52083333333333
2020-12-19,3,15.5,2.5,7.54166666666667
2020-12-19,4,16,3,7.79861111111111
2020-12-19,5,16,2.5,7.47916666666667
2020-12-19,6,16.5,2.5,7.36111111111111
2020-12-19,7,15,2.5,7.09027777777778
2020-12-20,2,17,1,7.20833333333333
2020-12-20,3,14.5,1,7.09027777777778
2020-12-20,4,15.5,1.5,7.55555555555555
2020-12-20,5,15.5,1,7.04861111111111
2020-12-20,6,15.5,1.5,6.94444444444445
2020-12-20,7,14,1,6.68055555555555
2020-12-21,2,13.5,2,5.61458333333333
2020-12-21,3,12,2.5,5.73611111111111
2020-12-21,4,13,2.5,6.05555555555556
2020-12-21,5,12,2,5.77083333333333
2020-12-21,6,11.5,2.5,5.64583333333333
2020-12-21,7,11,2.5,5.50694444444444
2020-12-22,2,15,4,7.89583333333333
2020-12-22,3,13.5,4.5,8.15972222222222
2020-12-22,4,14.5,4.5,8.30555555555556
2020-12-22,5,14,4.5,7.83333333333333
2020-12-22,6,14,4.5,7.89583333333333
2020-12-22,7,13.5,4,7.59722222222222
2020-12-23,2,17,1.5,6.95833333333333
2020-12-23,3,14,2,6.88194444444444
2020-12-23,4,15,1.5,7.29166666666667
2020-12-23,5,14.5,1.5,6.68055555555556
2020-12-23,6,15,1.5,6.69444444444444
2020-12-23,7,13.5,1.5,6.44444444444444
2020-12-24,2,13.5,2.5,6.4375
2020-12-24,3,13,2.5,6.50694444444444
2020-12-24,4,13,2.5,6.84027777777778
2020-12-24,5,13.5,2.5,6.61111111111111
2020-12-24,6,12.5,2.5,6.32638888888889
2020-12-24,7,12,2,6.13888888888889
