1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 8C0000004839CD21
Is Mission Active?  true
Mission Start:  Tue Jan 26 15:08:00 PST 2021
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1920
Total Samples:  7601
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
1/26/21 3:08:00 PM,C,9
1/26/21 4:08:00 PM,C,8.5
1/26/21 5:08:00 PM,C,8
1/26/21 6:08:00 PM,C,7.5
1/26/21 7:08:00 PM,C,6.5
1/26/21 8:08:00 PM,C,6
1/26/21 9:08:00 PM,C,5.5
1/26/21 10:08:00 PM,C,5.5
1/26/21 11:08:00 PM,C,5.5
1/27/21 12:08:00 AM,C,5.5
1/27/21 1:08:00 AM,C,5
1/27/21 2:08:00 AM,C,5
1/27/21 3:08:00 AM,C,5
1/27/21 4:08:00 AM,C,5
1/27/21 5:08:00 AM,C,5
1/27/21 6:08:00 AM,C,5.5
1/27/21 7:08:00 AM,C,5.5
1/27/21 8:08:00 AM,C,6.5
1/27/21 9:08:00 AM,C,7
1/27/21 10:08:00 AM,C,8.5
1/27/21 11:08:00 AM,C,11.5
1/27/21 12:08:00 PM,C,11
1/27/21 1:08:00 PM,C,10
1/27/21 2:08:00 PM,C,10
1/27/21 3:08:00 PM,C,9.5
1/27/21 4:08:00 PM,C,8.5
1/27/21 5:08:00 PM,C,8
1/27/21 6:08:00 PM,C,8
1/27/21 7:08:00 PM,C,7.5
1/27/21 8:08:00 PM,C,8
1/27/21 9:08:00 PM,C,8
1/27/21 10:08:00 PM,C,8.5
1/27/21 11:08:00 PM,C,8.5
1/28/21 12:08:00 AM,C,8.5
1/28/21 1:08:00 AM,C,9
1/28/21 2:08:00 AM,C,9
1/28/21 3:08:00 AM,C,9
1/28/21 4:08:00 AM,C,9
1/28/21 5:08:00 AM,C,9
1/28/21 6:08:00 AM,C,9
1/28/21 7:08:00 AM,C,8.5
1/28/21 8:08:00 AM,C,9
1/28/21 9:08:00 AM,C,9.5
1/28/21 10:08:00 AM,C,10
1/28/21 11:08:00 AM,C,10
1/28/21 12:08:00 PM,C,11
1/28/21 1:08:00 PM,C,12.5
1/28/21 2:08:00 PM,C,14
1/28/21 3:08:00 PM,C,13.5
1/28/21 4:08:00 PM,C,12
1/28/21 5:08:00 PM,C,11
1/28/21 6:08:00 PM,C,10
1/28/21 7:08:00 PM,C,9.5
1/28/21 8:08:00 PM,C,9
1/28/21 9:08:00 PM,C,9
1/28/21 10:08:00 PM,C,9
1/28/21 11:08:00 PM,C,8.5
1/29/21 12:08:00 AM,C,8
1/29/21 1:08:00 AM,C,8
1/29/21 2:08:00 AM,C,8
1/29/21 3:08:00 AM,C,7.5
1/29/21 4:08:00 AM,C,7.5
1/29/21 5:08:00 AM,C,7
1/29/21 6:08:00 AM,C,7
1/29/21 7:08:00 AM,C,7
1/29/21 8:08:00 AM,C,7.5
1/29/21 9:08:00 AM,C,8
1/29/21 10:08:00 AM,C,9
1/29/21 11:08:00 AM,C,11.5
1/29/21 12:08:00 PM,C,11.5
1/29/21 1:08:00 PM,C,17.5
1/29/21 2:08:00 PM,C,16.5
1/29/21 3:08:00 PM,C,15.5
1/29/21 4:08:00 PM,C,14
1/29/21 5:08:00 PM,C,11.5
1/29/21 6:08:00 PM,C,10
1/29/21 7:08:00 PM,C,9
1/29/21 8:08:00 PM,C,8
1/29/21 9:08:00 PM,C,7.5
1/29/21 10:08:00 PM,C,7.5
1/29/21 11:08:00 PM,C,7
1/30/21 12:08:00 AM,C,6.5
1/30/21 1:08:00 AM,C,6
1/30/21 2:08:00 AM,C,6.5
1/30/21 3:08:00 AM,C,6.5
1/30/21 4:08:00 AM,C,6.5
1/30/21 5:08:00 AM,C,6.5
1/30/21 6:08:00 AM,C,6.5
1/30/21 7:08:00 AM,C,6
1/30/21 8:08:00 AM,C,6.5
1/30/21 9:08:00 AM,C,7.5
1/30/21 10:08:00 AM,C,12.5
1/30/21 11:08:00 AM,C,15
1/30/21 12:08:00 PM,C,17.5
1/30/21 1:08:00 PM,C,19
1/30/21 2:08:00 PM,C,19
1/30/21 3:08:00 PM,C,17
1/30/21 4:08:00 PM,C,15.5
1/30/21 5:08:00 PM,C,14
1/30/21 6:08:00 PM,C,12.5
1/30/21 7:08:00 PM,C,11.5
1/30/21 8:08:00 PM,C,10
1/30/21 9:08:00 PM,C,9.5
1/30/21 10:08:00 PM,C,8.5
1/30/21 11:08:00 PM,C,8
1/31/21 12:08:00 AM,C,7.5
1/31/21 1:08:00 AM,C,7.5
1/31/21 2:08:00 AM,C,7.5
1/31/21 3:08:00 AM,C,7.5
1/31/21 4:08:00 AM,C,7.5
1/31/21 5:08:00 AM,C,7.5
1/31/21 6:08:00 AM,C,7.5
1/31/21 7:08:00 AM,C,8
1/31/21 8:08:00 AM,C,8.5
1/31/21 9:08:00 AM,C,10.5
1/31/21 10:08:00 AM,C,15.5
1/31/21 11:08:00 AM,C,16
1/31/21 12:08:00 PM,C,19
1/31/21 1:08:00 PM,C,21
1/31/21 2:08:00 PM,C,21
1/31/21 3:08:00 PM,C,19
1/31/21 4:08:00 PM,C,18
1/31/21 5:08:00 PM,C,16
1/31/21 6:08:00 PM,C,14.5
1/31/21 7:08:00 PM,C,14
1/31/21 8:08:00 PM,C,13.5
1/31/21 9:08:00 PM,C,12.5
1/31/21 10:08:00 PM,C,12
1/31/21 11:08:00 PM,C,12
2/1/21 12:08:00 AM,C,11
