1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: D40000004230D821
Is Mission Active?  true
Mission Start:  Thu Sep 17 11:59:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  3125
Total Samples:  9533
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/17/20 11:59:00 AM,C,30
9/17/20 12:59:00 PM,C,35
9/17/20 1:59:00 PM,C,28.5
9/17/20 2:59:00 PM,C,29
9/17/20 3:59:00 PM,C,28
9/17/20 4:59:00 PM,C,26.5
9/17/20 5:59:00 PM,C,25.5
9/17/20 6:59:00 PM,C,23.5
9/17/20 7:59:00 PM,C,21.5
9/17/20 8:59:00 PM,C,20.5
9/17/20 9:59:00 PM,C,19.5
9/17/20 10:59:00 PM,C,18.5
9/17/20 11:59:00 PM,C,18.5
9/18/20 12:59:00 AM,C,18
9/18/20 1:59:00 AM,C,17
9/18/20 2:59:00 AM,C,17
9/18/20 3:59:00 AM,C,16.5
9/18/20 4:59:00 AM,C,16.5
9/18/20 5:59:00 AM,C,16
9/18/20 6:59:00 AM,C,16
9/18/20 7:59:00 AM,C,16.5
9/18/20 8:59:00 AM,C,18
9/18/20 9:59:00 AM,C,19
9/18/20 10:59:00 AM,C,20
9/18/20 11:59:00 AM,C,22.5
9/18/20 12:59:00 PM,C,24
9/18/20 1:59:00 PM,C,25.5
9/18/20 2:59:00 PM,C,25.5
9/18/20 3:59:00 PM,C,26
9/18/20 4:59:00 PM,C,26
9/18/20 5:59:00 PM,C,24.5
9/18/20 6:59:00 PM,C,22.5
9/18/20 7:59:00 PM,C,21
9/18/20 8:59:00 PM,C,20.5
9/18/20 9:59:00 PM,C,19.5
9/18/20 10:59:00 PM,C,19
9/18/20 11:59:00 PM,C,18
9/19/20 12:59:00 AM,C,17.5
9/19/20 1:59:00 AM,C,17
9/19/20 2:59:00 AM,C,16.5
9/19/20 3:59:00 AM,C,16
9/19/20 4:59:00 AM,C,15.5
9/19/20 5:59:00 AM,C,15
9/19/20 6:59:00 AM,C,14.5
9/19/20 7:59:00 AM,C,15
9/19/20 8:59:00 AM,C,16
9/19/20 9:59:00 AM,C,18.5
9/19/20 10:59:00 AM,C,20.5
9/19/20 11:59:00 AM,C,22.5
9/19/20 12:59:00 PM,C,23.5
9/19/20 1:59:00 PM,C,24.5
9/19/20 2:59:00 PM,C,25.5
9/19/20 3:59:00 PM,C,26
9/19/20 4:59:00 PM,C,25.5
9/19/20 5:59:00 PM,C,24.5
9/19/20 6:59:00 PM,C,23
9/19/20 7:59:00 PM,C,21.5
9/19/20 8:59:00 PM,C,21
9/19/20 9:59:00 PM,C,19.5
9/19/20 10:59:00 PM,C,19
9/19/20 11:59:00 PM,C,18.5
9/20/20 12:59:00 AM,C,18
9/20/20 1:59:00 AM,C,17.5
9/20/20 2:59:00 AM,C,16.5
9/20/20 3:59:00 AM,C,16
9/20/20 4:59:00 AM,C,15.5
9/20/20 5:59:00 AM,C,15
9/20/20 6:59:00 AM,C,14
9/20/20 7:59:00 AM,C,14
9/20/20 8:59:00 AM,C,16
9/20/20 9:59:00 AM,C,18.5
9/20/20 10:59:00 AM,C,20.5
9/20/20 11:59:00 AM,C,22.5
9/20/20 12:59:00 PM,C,24.5
9/20/20 1:59:00 PM,C,26
9/20/20 2:59:00 PM,C,26
9/20/20 3:59:00 PM,C,26
9/20/20 4:59:00 PM,C,26
9/20/20 5:59:00 PM,C,25
9/20/20 6:59:00 PM,C,23
9/20/20 7:59:00 PM,C,22
9/20/20 8:59:00 PM,C,21
9/20/20 9:59:00 PM,C,20.5
9/20/20 10:59:00 PM,C,19.5
9/20/20 11:59:00 PM,C,19
9/21/20 12:59:00 AM,C,18
9/21/20 1:59:00 AM,C,17.5
9/21/20 2:59:00 AM,C,17
9/21/20 3:59:00 AM,C,16.5
9/21/20 4:59:00 AM,C,16
9/21/20 5:59:00 AM,C,15
9/21/20 6:59:00 AM,C,14.5
9/21/20 7:59:00 AM,C,14
9/21/20 8:59:00 AM,C,15.5
9/21/20 9:59:00 AM,C,18.5
9/21/20 10:59:00 AM,C,21
9/21/20 11:59:00 AM,C,23
9/21/20 12:59:00 PM,C,25
9/21/20 1:59:00 PM,C,26.5
9/21/20 2:59:00 PM,C,26
9/21/20 3:59:00 PM,C,26.5
9/21/20 4:59:00 PM,C,25.5
9/21/20 5:59:00 PM,C,23.5
9/21/20 6:59:00 PM,C,22
9/21/20 7:59:00 PM,C,20.5
9/21/20 8:59:00 PM,C,20
9/21/20 9:59:00 PM,C,19
9/21/20 10:59:00 PM,C,18.5
9/21/20 11:59:00 PM,C,18
9/22/20 12:59:00 AM,C,17.5
9/22/20 1:59:00 AM,C,17
9/22/20 2:59:00 AM,C,17
9/22/20 3:59:00 AM,C,16.5
9/22/20 4:59:00 AM,C,16
9/22/20 5:59:00 AM,C,16
9/22/20 6:59:00 AM,C,15.5
9/22/20 7:59:00 AM,C,15.5
9/22/20 8:59:00 AM,C,17.5
9/22/20 9:59:00 AM,C,19
9/22/20 10:59:00 AM,C,21
9/22/20 11:59:00 AM,C,24
9/22/20 12:59:00 PM,C,26.5
9/22/20 1:59:00 PM,C,26.5
9/22/20 2:59:00 PM,C,27
9/22/20 3:59:00 PM,C,27
9/22/20 4:59:00 PM,C,27.5
9/22/20 5:59:00 PM,C,25
9/22/20 6:59:00 PM,C,22
9/22/20 7:59:00 PM,C,21
9/22/20 8:59:00 PM,C,20
9/22/20 9:59:00 PM,C,19.5
9/22/20 10:59:00 PM,C,18.5
9/22/20 11:59:00 PM,C,17.5
9/23/20 12:59:00 AM,C,16.5
9/23/20 1:59:00 AM,C,16
9/23/20 2:59:00 AM,C,15
9/23/20 3:59:00 AM,C,14.5
9/23/20 4:59:00 AM,C,14
9/23/20 5:59:00 AM,C,13.5
9/23/20 6:59:00 AM,C,13
9/23/20 7:59:00 AM,C,13
9/23/20 8:59:00 AM,C,15
9/23/20 9:59:00 AM,C,18
9/23/20 10:59:00 AM,C,21.5
9/23/20 11:59:00 AM,C,23.5
9/23/20 12:59:00 PM,C,26
9/23/20 1:59:00 PM,C,27
9/23/20 2:59:00 PM,C,27
9/23/20 3:59:00 PM,C,26.5
9/23/20 4:59:00 PM,C,27
9/23/20 5:59:00 PM,C,25.5
9/23/20 6:59:00 PM,C,23.5
9/23/20 7:59:00 PM,C,22
9/23/20 8:59:00 PM,C,20.5
9/23/20 9:59:00 PM,C,20
9/23/20 10:59:00 PM,C,19
9/23/20 11:59:00 PM,C,18.5
9/24/20 12:59:00 AM,C,17.5
9/24/20 1:59:00 AM,C,17
9/24/20 2:59:00 AM,C,16.5
9/24/20 3:59:00 AM,C,16
9/24/20 4:59:00 AM,C,15.5
9/24/20 5:59:00 AM,C,15
9/24/20 6:59:00 AM,C,15
9/24/20 7:59:00 AM,C,15
9/24/20 8:59:00 AM,C,17.5
9/24/20 9:59:00 AM,C,20
9/24/20 10:59:00 AM,C,23.5
9/24/20 11:59:00 AM,C,26.5
9/24/20 12:59:00 PM,C,28.5
9/24/20 1:59:00 PM,C,30.5
9/24/20 2:59:00 PM,C,29
9/24/20 3:59:00 PM,C,28
9/24/20 4:59:00 PM,C,27
9/24/20 5:59:00 PM,C,26
9/24/20 6:59:00 PM,C,23.5
9/24/20 7:59:00 PM,C,22
9/24/20 8:59:00 PM,C,21
9/24/20 9:59:00 PM,C,19.5
9/24/20 10:59:00 PM,C,18.5
9/24/20 11:59:00 PM,C,17.5
9/25/20 12:59:00 AM,C,16.5
9/25/20 1:59:00 AM,C,16
9/25/20 2:59:00 AM,C,15.5
9/25/20 3:59:00 AM,C,15
9/25/20 4:59:00 AM,C,14.5
9/25/20 5:59:00 AM,C,14
9/25/20 6:59:00 AM,C,13.5
9/25/20 7:59:00 AM,C,13.5
9/25/20 8:59:00 AM,C,15.5
9/25/20 9:59:00 AM,C,19
9/25/20 10:59:00 AM,C,23
9/25/20 11:59:00 AM,C,25.5
9/25/20 12:59:00 PM,C,28
9/25/20 1:59:00 PM,C,29.5
9/25/20 2:59:00 PM,C,29.5
9/25/20 3:59:00 PM,C,26.5
9/25/20 4:59:00 PM,C,26
9/25/20 5:59:00 PM,C,24.5
9/25/20 6:59:00 PM,C,23
9/25/20 7:59:00 PM,C,22
9/25/20 8:59:00 PM,C,21
9/25/20 9:59:00 PM,C,20
9/25/20 10:59:00 PM,C,19
9/25/20 11:59:00 PM,C,18.5
9/26/20 12:59:00 AM,C,17.5
9/26/20 1:59:00 AM,C,17
9/26/20 2:59:00 AM,C,16.5
9/26/20 3:59:00 AM,C,16
9/26/20 4:59:00 AM,C,15.5
9/26/20 5:59:00 AM,C,15.5
9/26/20 6:59:00 AM,C,15
9/26/20 7:59:00 AM,C,15
9/26/20 8:59:00 AM,C,17.5
9/26/20 9:59:00 AM,C,21.5
9/26/20 10:59:00 AM,C,25
9/26/20 11:59:00 AM,C,26.5
9/26/20 12:59:00 PM,C,29.5
9/26/20 1:59:00 PM,C,31
9/26/20 2:59:00 PM,C,30
9/26/20 3:59:00 PM,C,27
9/26/20 4:59:00 PM,C,27
9/26/20 5:59:00 PM,C,26.5
9/26/20 6:59:00 PM,C,25
9/26/20 7:59:00 PM,C,23.5
9/26/20 8:59:00 PM,C,22
9/26/20 9:59:00 PM,C,21
9/26/20 10:59:00 PM,C,20.5
9/26/20 11:59:00 PM,C,20
9/27/20 12:59:00 AM,C,21
9/27/20 1:59:00 AM,C,21.5
9/27/20 2:59:00 AM,C,21
9/27/20 3:59:00 AM,C,20.5
9/27/20 4:59:00 AM,C,20
9/27/20 5:59:00 AM,C,19.5
9/27/20 6:59:00 AM,C,19
9/27/20 7:59:00 AM,C,18.5
9/27/20 8:59:00 AM,C,20
9/27/20 9:59:00 AM,C,22.5
9/27/20 10:59:00 AM,C,25
9/27/20 11:59:00 AM,C,28
9/27/20 12:59:00 PM,C,29.5
9/27/20 1:59:00 PM,C,32
9/27/20 2:59:00 PM,C,31
9/27/20 3:59:00 PM,C,29
9/27/20 4:59:00 PM,C,29.5
9/27/20 5:59:00 PM,C,29
9/27/20 6:59:00 PM,C,27.5
9/27/20 7:59:00 PM,C,25.5
9/27/20 8:59:00 PM,C,23.5
9/27/20 9:59:00 PM,C,23
9/27/20 10:59:00 PM,C,22
9/27/20 11:59:00 PM,C,21.5
9/28/20 12:59:00 AM,C,21
9/28/20 1:59:00 AM,C,20.5
9/28/20 2:59:00 AM,C,20
9/28/20 3:59:00 AM,C,20.5
9/28/20 4:59:00 AM,C,20.5
9/28/20 5:59:00 AM,C,20.5
9/28/20 6:59:00 AM,C,20
9/28/20 7:59:00 AM,C,19
9/28/20 8:59:00 AM,C,21
9/28/20 9:59:00 AM,C,24.5
9/28/20 10:59:00 AM,C,24.5
9/28/20 11:59:00 AM,C,27
9/28/20 12:59:00 PM,C,31
9/28/20 1:59:00 PM,C,31.5
9/28/20 2:59:00 PM,C,31.5
9/28/20 3:59:00 PM,C,29
9/28/20 4:59:00 PM,C,29
9/28/20 5:59:00 PM,C,29
9/28/20 6:59:00 PM,C,27
