1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 020000004D040621
Is Mission Active?  true
Mission Start:  Sat Oct 31 12:19:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  2092
Total Samples:  3165
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/31/20 12:19:00 PM,C,19
10/31/20 1:19:00 PM,C,19.5
10/31/20 2:19:00 PM,C,20.5
10/31/20 3:19:00 PM,C,20
10/31/20 4:19:00 PM,C,20.5
10/31/20 5:19:00 PM,C,19
10/31/20 6:19:00 PM,C,17.5
10/31/20 7:19:00 PM,C,17
10/31/20 8:19:00 PM,C,16.5
10/31/20 9:19:00 PM,C,15.5
10/31/20 10:19:00 PM,C,14.5
10/31/20 11:19:00 PM,C,14
11/1/20 12:19:00 AM,C,13
11/1/20 1:19:00 AM,C,12.5
11/1/20 1:19:00 AM,C,11.5
11/1/20 2:19:00 AM,C,11
11/1/20 3:19:00 AM,C,10
11/1/20 4:19:00 AM,C,9.5
11/1/20 5:19:00 AM,C,9
11/1/20 6:19:00 AM,C,8.5
11/1/20 7:19:00 AM,C,8.5
11/1/20 8:19:00 AM,C,9.5
11/1/20 9:19:00 AM,C,13.5
11/1/20 10:19:00 AM,C,16
11/1/20 11:19:00 AM,C,18.5
11/1/20 12:19:00 PM,C,20
11/1/20 1:19:00 PM,C,21
11/1/20 2:19:00 PM,C,20
11/1/20 3:19:00 PM,C,20.5
11/1/20 4:19:00 PM,C,19
11/1/20 5:19:00 PM,C,18
11/1/20 6:19:00 PM,C,17.5
11/1/20 7:19:00 PM,C,16.5
11/1/20 8:19:00 PM,C,15.5
11/1/20 9:19:00 PM,C,14
11/1/20 10:19:00 PM,C,13
11/1/20 11:19:00 PM,C,12
11/2/20 12:19:00 AM,C,11.5
11/2/20 1:19:00 AM,C,11
11/2/20 2:19:00 AM,C,10
11/2/20 3:19:00 AM,C,9.5
11/2/20 4:19:00 AM,C,9
11/2/20 5:19:00 AM,C,8.5
11/2/20 6:19:00 AM,C,8
11/2/20 7:19:00 AM,C,8.5
11/2/20 8:19:00 AM,C,9.5
11/2/20 9:19:00 AM,C,13.5
11/2/20 10:19:00 AM,C,16
11/2/20 11:19:00 AM,C,19.5
11/2/20 12:19:00 PM,C,20
11/2/20 1:19:00 PM,C,22
11/2/20 2:19:00 PM,C,21
11/2/20 3:19:00 PM,C,22
11/2/20 4:19:00 PM,C,19.5
11/2/20 5:19:00 PM,C,17
11/2/20 6:19:00 PM,C,17
11/2/20 7:19:00 PM,C,16.5
11/2/20 8:19:00 PM,C,16
11/2/20 9:19:00 PM,C,15
11/2/20 10:19:00 PM,C,14
11/2/20 11:19:00 PM,C,13.5
11/3/20 12:19:00 AM,C,12.5
11/3/20 1:19:00 AM,C,12
11/3/20 2:19:00 AM,C,11.5
11/3/20 3:19:00 AM,C,11
11/3/20 4:19:00 AM,C,10.5
11/3/20 5:19:00 AM,C,10
11/3/20 6:19:00 AM,C,9
11/3/20 7:19:00 AM,C,8.5
11/3/20 8:19:00 AM,C,9
11/3/20 9:19:00 AM,C,12.5
11/3/20 10:19:00 AM,C,15.5
11/3/20 11:19:00 AM,C,18.5
11/3/20 12:19:00 PM,C,20.5
11/3/20 1:19:00 PM,C,20.5
11/3/20 2:19:00 PM,C,21
11/3/20 3:19:00 PM,C,20
11/3/20 4:19:00 PM,C,19.5
11/3/20 5:19:00 PM,C,18
11/3/20 6:19:00 PM,C,16.5
11/3/20 7:19:00 PM,C,15.5
11/3/20 8:19:00 PM,C,14
11/3/20 9:19:00 PM,C,12.5
11/3/20 10:19:00 PM,C,11.5
11/3/20 11:19:00 PM,C,10.5
11/4/20 12:19:00 AM,C,9.5
11/4/20 1:19:00 AM,C,8.5
11/4/20 2:19:00 AM,C,8
11/4/20 3:19:00 AM,C,7.5
11/4/20 4:19:00 AM,C,7.5
11/4/20 5:19:00 AM,C,7
11/4/20 6:19:00 AM,C,7
11/4/20 7:19:00 AM,C,7.5
11/4/20 8:19:00 AM,C,8.5
11/4/20 9:19:00 AM,C,13
11/4/20 10:19:00 AM,C,16
11/4/20 11:19:00 AM,C,17
11/4/20 12:19:00 PM,C,19
11/4/20 1:19:00 PM,C,19.5
11/4/20 2:19:00 PM,C,20.5
11/4/20 3:19:00 PM,C,20
11/4/20 4:19:00 PM,C,20
11/4/20 5:19:00 PM,C,18
11/4/20 6:19:00 PM,C,17
11/4/20 7:19:00 PM,C,16
11/4/20 8:19:00 PM,C,15.5
11/4/20 9:19:00 PM,C,14.5
11/4/20 10:19:00 PM,C,14
11/4/20 11:19:00 PM,C,13
11/5/20 12:19:00 AM,C,12
11/5/20 1:19:00 AM,C,11.5
11/5/20 2:19:00 AM,C,11
11/5/20 3:19:00 AM,C,10.5
11/5/20 4:19:00 AM,C,10
11/5/20 5:19:00 AM,C,9.5
11/5/20 6:19:00 AM,C,9
11/5/20 7:19:00 AM,C,9
11/5/20 8:19:00 AM,C,10.5
11/5/20 9:19:00 AM,C,15
11/5/20 10:19:00 AM,C,17.5
11/5/20 11:19:00 AM,C,18.5
11/5/20 12:19:00 PM,C,21
