1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 610000004CEF6121
Is Mission Active?  true
Mission Start:  Thu Feb 04 10:35:00 PST 2021
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1708
Total Samples:  4763
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2/4/21 10:35:00 AM,C,14
2/4/21 11:35:00 AM,C,13.5
2/4/21 12:35:00 PM,C,15.5
2/4/21 1:35:00 PM,C,16.5
2/4/21 2:35:00 PM,C,17
2/4/21 3:35:00 PM,C,16.5
2/4/21 4:35:00 PM,C,15.5
2/4/21 5:35:00 PM,C,13.5
2/4/21 6:35:00 PM,C,12.5
2/4/21 7:35:00 PM,C,11.5
2/4/21 8:35:00 PM,C,10.5
2/4/21 9:35:00 PM,C,10
2/4/21 10:35:00 PM,C,9.5
2/4/21 11:35:00 PM,C,9
2/5/21 12:35:00 AM,C,8
2/5/21 1:35:00 AM,C,7.5
2/5/21 2:35:00 AM,C,6.5
2/5/21 3:35:00 AM,C,6
2/5/21 4:35:00 AM,C,5.5
2/5/21 5:35:00 AM,C,4.5
2/5/21 6:35:00 AM,C,4
2/5/21 7:35:00 AM,C,3.5
2/5/21 8:35:00 AM,C,4.5
2/5/21 9:35:00 AM,C,9.5
2/5/21 10:35:00 AM,C,15
2/5/21 11:35:00 AM,C,16
2/5/21 12:35:00 PM,C,18.5
2/5/21 1:35:00 PM,C,20
2/5/21 2:35:00 PM,C,20
2/5/21 3:35:00 PM,C,19
2/5/21 4:35:00 PM,C,18
2/5/21 5:35:00 PM,C,16
2/5/21 6:35:00 PM,C,14
2/5/21 7:35:00 PM,C,12.5
2/5/21 8:35:00 PM,C,10.5
2/5/21 9:35:00 PM,C,9.5
2/5/21 10:35:00 PM,C,8.5
2/5/21 11:35:00 PM,C,7.5
2/6/21 12:35:00 AM,C,7.5
2/6/21 1:35:00 AM,C,7
2/6/21 2:35:00 AM,C,6.5
2/6/21 3:35:00 AM,C,6
2/6/21 4:35:00 AM,C,5.5
2/6/21 5:35:00 AM,C,5.5
2/6/21 6:35:00 AM,C,5
2/6/21 7:35:00 AM,C,4.5
2/6/21 8:35:00 AM,C,5
2/6/21 9:35:00 AM,C,10
2/6/21 10:35:00 AM,C,15.5
2/6/21 11:35:00 AM,C,16.5
2/6/21 12:35:00 PM,C,19
2/6/21 1:35:00 PM,C,20
2/6/21 2:35:00 PM,C,20.5
2/6/21 3:35:00 PM,C,20
2/6/21 4:35:00 PM,C,19
2/6/21 5:35:00 PM,C,16.5
2/6/21 6:35:00 PM,C,14
2/6/21 7:35:00 PM,C,12.5
2/6/21 8:35:00 PM,C,11
2/6/21 9:35:00 PM,C,10
2/6/21 10:35:00 PM,C,9
2/6/21 11:35:00 PM,C,8
2/7/21 12:35:00 AM,C,7.5
2/7/21 1:35:00 AM,C,6.5
2/7/21 2:35:00 AM,C,6
2/7/21 3:35:00 AM,C,5.5
2/7/21 4:35:00 AM,C,5
2/7/21 5:35:00 AM,C,4.5
2/7/21 6:35:00 AM,C,4.5
2/7/21 7:35:00 AM,C,4.5
2/7/21 8:35:00 AM,C,5.5
2/7/21 9:35:00 AM,C,11
2/7/21 10:35:00 AM,C,16.5
2/7/21 11:35:00 AM,C,17
2/7/21 12:35:00 PM,C,19.5
2/7/21 1:35:00 PM,C,21
2/7/21 2:35:00 PM,C,21
2/7/21 3:35:00 PM,C,20.5
2/7/21 4:35:00 PM,C,20
2/7/21 5:35:00 PM,C,17.5
2/7/21 6:35:00 PM,C,15
2/7/21 7:35:00 PM,C,13.5
2/7/21 8:35:00 PM,C,12.5
2/7/21 9:35:00 PM,C,11
2/7/21 10:35:00 PM,C,10
2/7/21 11:35:00 PM,C,9.5
2/8/21 12:35:00 AM,C,8.5
2/8/21 1:35:00 AM,C,8
2/8/21 2:35:00 AM,C,7.5
2/8/21 3:35:00 AM,C,6.5
2/8/21 4:35:00 AM,C,6
2/8/21 5:35:00 AM,C,5.5
2/8/21 6:35:00 AM,C,5.5
2/8/21 7:35:00 AM,C,5.5
2/8/21 8:35:00 AM,C,7
2/8/21 9:35:00 AM,C,10.5
2/8/21 10:35:00 AM,C,15.5
2/8/21 11:35:00 AM,C,17
2/8/21 12:35:00 PM,C,18
2/8/21 1:35:00 PM,C,19.5
2/8/21 2:35:00 PM,C,19
