1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 990000004D284721
Is Mission Active?  false
Mission Start:  Tue May 25 15:00:00 PDT 2021
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1917
Total Samples:  9233
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/25/21 3:00:00 PM,C,40
5/25/21 4:00:00 PM,C,38.5
5/25/21 5:00:00 PM,C,36
5/25/21 6:00:00 PM,C,33.5
5/25/21 7:00:00 PM,C,31.5
5/25/21 8:00:00 PM,C,28.5
5/25/21 9:00:00 PM,C,25
5/25/21 10:00:00 PM,C,22.5
5/25/21 11:00:00 PM,C,20.5
5/26/21 12:00:00 AM,C,19
5/26/21 1:00:00 AM,C,18
5/26/21 2:00:00 AM,C,16.5
5/26/21 3:00:00 AM,C,15.5
5/26/21 4:00:00 AM,C,14.5
5/26/21 5:00:00 AM,C,13.5
5/26/21 6:00:00 AM,C,13
5/26/21 7:00:00 AM,C,14
5/26/21 8:00:00 AM,C,18.5
5/26/21 9:00:00 AM,C,24.5
5/26/21 10:00:00 AM,C,29
5/26/21 11:00:00 AM,C,33
5/26/21 12:00:00 PM,C,36.5
5/26/21 1:00:00 PM,C,38
5/26/21 2:00:00 PM,C,40
5/26/21 3:00:00 PM,C,42
5/26/21 4:00:00 PM,C,41
5/26/21 5:00:00 PM,C,38
5/26/21 6:00:00 PM,C,35
5/26/21 7:00:00 PM,C,33
5/26/21 8:00:00 PM,C,30.5
5/26/21 9:00:00 PM,C,26.5
5/26/21 10:00:00 PM,C,23
5/26/21 11:00:00 PM,C,20
5/27/21 12:00:00 AM,C,18
5/27/21 1:00:00 AM,C,17
5/27/21 2:00:00 AM,C,15.5
5/27/21 3:00:00 AM,C,14
5/27/21 4:00:00 AM,C,13
5/27/21 5:00:00 AM,C,12.5
5/27/21 6:00:00 AM,C,12
5/27/21 7:00:00 AM,C,12.5
5/27/21 8:00:00 AM,C,17
5/27/21 9:00:00 AM,C,22.5
5/27/21 10:00:00 AM,C,28
5/27/21 11:00:00 AM,C,32.5
5/27/21 12:00:00 PM,C,35.5
5/27/21 1:00:00 PM,C,38
5/27/21 2:00:00 PM,C,40.5
5/27/21 3:00:00 PM,C,41.5
5/27/21 4:00:00 PM,C,40.5
5/27/21 5:00:00 PM,C,38
5/27/21 6:00:00 PM,C,35
5/27/21 7:00:00 PM,C,33
5/27/21 8:00:00 PM,C,30.5
5/27/21 9:00:00 PM,C,26.5
5/27/21 10:00:00 PM,C,24
5/27/21 11:00:00 PM,C,22
5/28/21 12:00:00 AM,C,20.5
5/28/21 1:00:00 AM,C,19.5
5/28/21 2:00:00 AM,C,18.5
5/28/21 3:00:00 AM,C,17.5
5/28/21 4:00:00 AM,C,16.5
5/28/21 5:00:00 AM,C,16
5/28/21 6:00:00 AM,C,15.5
5/28/21 7:00:00 AM,C,16
5/28/21 8:00:00 AM,C,19.5
5/28/21 9:00:00 AM,C,23.5
5/28/21 10:00:00 AM,C,28
5/28/21 11:00:00 AM,C,32
5/28/21 12:00:00 PM,C,35.5
5/28/21 1:00:00 PM,C,38.5
5/28/21 2:00:00 PM,C,41.5
5/28/21 3:00:00 PM,C,42.5
5/28/21 4:00:00 PM,C,41
5/28/21 5:00:00 PM,C,39
5/28/21 6:00:00 PM,C,36
5/28/21 7:00:00 PM,C,33
5/28/21 8:00:00 PM,C,30.5
5/28/21 9:00:00 PM,C,26.5
5/28/21 10:00:00 PM,C,23
5/28/21 11:00:00 PM,C,20
5/29/21 12:00:00 AM,C,18
5/29/21 1:00:00 AM,C,16.5
5/29/21 2:00:00 AM,C,15.5
5/29/21 3:00:00 AM,C,14.5
5/29/21 4:00:00 AM,C,14
5/29/21 5:00:00 AM,C,13.5
5/29/21 6:00:00 AM,C,13
5/29/21 7:00:00 AM,C,14
5/29/21 8:00:00 AM,C,18
5/29/21 9:00:00 AM,C,22.5
5/29/21 10:00:00 AM,C,27.5
5/29/21 11:00:00 AM,C,32.5
5/29/21 12:00:00 PM,C,36
5/29/21 1:00:00 PM,C,37.5
5/29/21 2:00:00 PM,C,39.5
5/29/21 3:00:00 PM,C,41
5/29/21 4:00:00 PM,C,40
5/29/21 5:00:00 PM,C,37.5
5/29/21 6:00:00 PM,C,34
5/29/21 7:00:00 PM,C,31
5/29/21 8:00:00 PM,C,26.5
5/29/21 9:00:00 PM,C,22
5/29/21 10:00:00 PM,C,19
5/29/21 11:00:00 PM,C,17.5
5/30/21 12:00:00 AM,C,16.5
5/30/21 1:00:00 AM,C,15.5
5/30/21 2:00:00 AM,C,15
5/30/21 3:00:00 AM,C,14
5/30/21 4:00:00 AM,C,13.5
5/30/21 5:00:00 AM,C,13
5/30/21 6:00:00 AM,C,13
5/30/21 7:00:00 AM,C,13.5
5/30/21 8:00:00 AM,C,17.5
5/30/21 9:00:00 AM,C,23
5/30/21 10:00:00 AM,C,29
5/30/21 11:00:00 AM,C,34
5/30/21 12:00:00 PM,C,38
5/30/21 1:00:00 PM,C,40.5
5/30/21 2:00:00 PM,C,43.5
5/30/21 3:00:00 PM,C,45.5
5/30/21 4:00:00 PM,C,45
5/30/21 5:00:00 PM,C,42.5
5/30/21 6:00:00 PM,C,40
5/30/21 7:00:00 PM,C,38
5/30/21 8:00:00 PM,C,34
5/30/21 9:00:00 PM,C,29.5
5/30/21 10:00:00 PM,C,26
5/30/21 11:00:00 PM,C,23.5
5/31/21 12:00:00 AM,C,22
5/31/21 1:00:00 AM,C,20.5
5/31/21 2:00:00 AM,C,19.5
5/31/21 3:00:00 AM,C,18.5
5/31/21 4:00:00 AM,C,17.5
5/31/21 5:00:00 AM,C,17
5/31/21 6:00:00 AM,C,16.5
5/31/21 7:00:00 AM,C,17.5
5/31/21 8:00:00 AM,C,21
5/31/21 9:00:00 AM,C,26
5/31/21 10:00:00 AM,C,32
5/31/21 11:00:00 AM,C,37.5
5/31/21 12:00:00 PM,C,41.5
5/31/21 1:00:00 PM,C,44.5
5/31/21 2:00:00 PM,C,47.5
5/31/21 3:00:00 PM,C,49
5/31/21 4:00:00 PM,C,47.5
5/31/21 5:00:00 PM,C,45.5
5/31/21 6:00:00 PM,C,42.5
5/31/21 7:00:00 PM,C,39.5
5/31/21 8:00:00 PM,C,36
5/31/21 9:00:00 PM,C,31.5
5/31/21 10:00:00 PM,C,27.5
5/31/21 11:00:00 PM,C,24.5
6/1/21 12:00:00 AM,C,23
6/1/21 1:00:00 AM,C,21.5
6/1/21 2:00:00 AM,C,20
